year,city,country,avg_temp
1943,Birmingham,United States,17.33
1944,Birmingham,United States,17.50
1945,Birmingham,United States,17.75
1946,Birmingham,United States,17.79
1947,Birmingham,United States,16.97
1948,Birmingham,United States,17.53
1949,Birmingham,United States,18.07
1950,Birmingham,United States,17.49
1951,Birmingham,United States,17.77
1952,Birmingham,United States,17.54
1953,Birmingham,United States,17.77
1954,Birmingham,United States,18.08
1955,Birmingham,United States,17.63
1956,Birmingham,United States,17.76
1957,Birmingham,United States,17.93
1958,Birmingham,United States,16.46
1959,Birmingham,United States,17.42
1960,Birmingham,United States,16.67
1961,Birmingham,United States,16.84
1962,Birmingham,United States,17.50
1963,Birmingham,United States,16.76
1964,Birmingham,United States,17.19
1965,Birmingham,United States,17.51
1966,Birmingham,United States,16.81
1967,Birmingham,United States,16.92
1968,Birmingham,United States,16.49
1969,Birmingham,United States,16.68
1970,Birmingham,United States,17.08
1971,Birmingham,United States,17.39
1972,Birmingham,United States,17.51
1973,Birmingham,United States,17.59
1974,Birmingham,United States,17.59
1975,Birmingham,United States,17.47
1976,Birmingham,United States,16.29
1977,Birmingham,United States,17.39
1978,Birmingham,United States,16.98
1979,Birmingham,United States,16.67
1980,Birmingham,United States,17.27
1981,Birmingham,United States,17.08
1982,Birmingham,United States,17.77
1983,Birmingham,United States,16.45
1984,Birmingham,United States,17.41
1985,Birmingham,United States,17.41
1986,Birmingham,United States,18.14
1987,Birmingham,United States,17.57
1988,Birmingham,United States,17.01
1989,Birmingham,United States,17.02
1990,Birmingham,United States,18.62
1991,Birmingham,United States,18.11
1992,Birmingham,United States,17.00
1993,Birmingham,United States,17.12
1994,Birmingham,United States,17.54
1995,Birmingham,United States,17.57
1996,Birmingham,United States,17.10
1997,Birmingham,United States,17.26
1998,Birmingham,United States,18.81
1999,Birmingham,United States,18.31
2000,Birmingham,United States,17.99
2001,Birmingham,United States,17.64
2002,Birmingham,United States,18.12
2003,Birmingham,United States,17.56
2004,Birmingham,United States,17.89
2005,Birmingham,United States,17.84
2006,Birmingham,United States,18.35
2007,Birmingham,United States,18.51
2008,Birmingham,United States,17.65
2009,Birmingham,United States,17.57
2010,Birmingham,United States,17.55
2011,Birmingham,United States,18.17
2012,Birmingham,United States,18.74
2013,Birmingham,United States,18.98
